id,code,name,url,structId,structId_name,nb_struct,nb_struct_incoming,noise
84,em-normandie,Ecole de Management de Normandie,https://hal-em-normandie.archives-ouvertes.fr,301735.0,École de Management de Normandie [EM Normandie],2,1,0.5
7030,vetagro-sup,VetAgro Sup,https://hal-vetagro-sup.archives-ouvertes.fr,301767.0,"VetAgro Sup - Institut national d'enseignement supérieur et de recherche en alimentation, santé animale, sciences agronomiques et de l'environnement [VAS]",50,7,0.14
5385,ehesp,Ecole des hautes études en santé publique,https://hal.ehesp.fr,301986.0,École des Hautes Études en Santé Publique [EHESP] [EHESP],36,14,0.3888888888888889
94,bnf,Bibliothèque nationale de France,https://hal-bnf.archives-ouvertes.fr,302209.0,Bibliothèque Nationale de France,4,1,0.25
5836,edf,EDF,https://hal-edf.archives-ouvertes.fr,302313.0,EDF [EDF],74,56,0.7567567567567568
2,inria,Inria,https://hal.inria.fr,300009.0,Unknown Labs [Inria],93,0,0.0
101,univ-tln,Université de Toulon,https://hal-univ-tln.archives-ouvertes.fr,303091.0,Université de Toulon [UTLN],65,12,0.18461538461538463
35,supelec,Supelec,https://hal-supelec.archives-ouvertes.fr,303397.0,Ecole Supérieure d'Electricité - SUPELEC (FRANCE),11,0,0.0
7464,enc,Ecole Nationale des Chartes,https://hal-enc.archives-ouvertes.fr,307249.0,École nationale des chartes [ENC],5,1,0.2
58,hec,HEC,https://hal-hec.archives-ouvertes.fr,105633.0,Faculté des Hautes Etudes Commerciales (HEC Lausanne) [HEC Lausanne],8,5,0.625
53,ensmp,MINES ParisTech,https://hal-mines-paristech.archives-ouvertes.fr,301492.0,Fondation MINES ParisTech,50,3,0.06
5436,univ-montpellier,Université de Montpellier,https://hal.umontpellier.fr,410122.0,Université de Montpellier [UM],192,19,0.09895833333333333
7463,u-bordeaux-montaigne,Université Bordeaux Montaigne,https://hal-u-bordeaux-montaigne.archives-ouvertes.fr,412629.0,Université Bordeaux Montaigne,66,4,0.06060606060606061
4090,univ-lorraine,Université de Lorraine,https://hal.univ-lorraine.fr,413289.0,Université de Lorraine [UL],152,14,0.09210526315789473
7580,u-pec,Université Paris-Est Créteil Val-de-Marne,https://hal.u-pec.fr/,420786.0,Université Paris-Est Créteil Val-de-Marne - Paris 12 [UPEC UP12],313,143,0.45686900958466453
4808,univ-guyane,Université de Guyane,https://hal.univ-guyane.fr,424370.0,Université de Guyane [UG],14,2,0.14285714285714285
51,univ-savoie,Université Savoie Mont Blanc,http://hal.univ-smb.fr,432896.0,Université Savoie Mont Blanc [USMB [Université de Savoie] [Université de Chambéry]],59,4,0.06779661016949153
